knn,knc,cpd
0.08019088118685254,0.9166666666666666,0.3314181237842205
0.36009560046041694,0.9166666666666666,0.21154831034691124
0.21959329837575137,0.9166666666666666,0.3568877004833446
0.3967866734876583,0.9166666666666666,0.3294754337900051
0.004484269088118685,0.9583333333333334,-0.005411139945654532
0.0033604041437523984,0.9583333333333334,0.03345867401086847
0.1571028903951912,0.9583333333333334,0.2766995668228364
0.2694797928123801,0.9583333333333334,0.2559252004826532
0.1334825425246195,0.875,0.33859247255780095
0.004030246834633585,0.9583333333333334,0.02772256803971044
0.16689634224325361,0.9583333333333334,0.23850292767818776
0.06927356439442384,0.875,0.394247594469394
0.0091268064969945,0.7916666666666666,0.04245303421190425
0.18691328814426397,0.9166666666666666,0.31197765123186855
0.07349725028776058,0.875,0.38338572455272907
0.12542684486507225,0.9166666666666666,0.33792779537215123
0.12045178411561581,0.9166666666666666,0.33749190304149956
0.08661273820181609,0.875,0.36074633106101905
0.3206436245044123,0.875,0.32531709407180875
0.005977426780918276,0.75,0.013893365790047213
0.10044283156413865,0.9166666666666666,0.33534844144690046
0.17368749200665046,0.9166666666666666,0.3463379086903663
0.003908747921729122,0.75,0.10591488888588345
0.10471767489448777,0.9166666666666666,0.34333721303693326
0.3984636782197212,0.9166666666666666,0.3257234684961547
0.2085033252334058,0.875,0.3300194266211632
