smiles,mean_prop
C1CCOC1,0.9597999999999999
C1COCCO1,0.949
C1COCO1,0.8972727272727272
CC#N,0.99
CC1CCCO1,0.9681999999999998
CC1COC(=O)O1,0.8620000000000001
CCCCOCCCC,0.99
CCN(CC)S(=O)(=O)C(F)(F)F,0.99
CCOC(=O)OC,0.9023333333333334
CCOC(=O)OCC,0.8923933333333331
CCOC(=O)OCC(F)(F)F,0.983
CCOC(C)=O,0.9796666666666667
CCOCC,0.978
CCOCCOCC,0.984
CCOCCOCC(F)(F)F,0.993
CCOP(=O)(OCC)OCC,0.992
CCO[Si](C)(C)OCC,0.99373
CCO[Si](OC)(OCC)OCC,0.99255
CCO[Si](OCC)(OCC)OCC,0.99074
CCn1cc[n+](C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,0.92
CF,0.9964999999999999
CN(C)S(=O)(=O)F,0.99
COC(=O)CC(F)(F)F,0.976
COC(=O)OC,0.8675416666666665
COC(=O)OCC(F)(F)F,0.9595
COC1(OC)OCC(C(F)(F)F)O1,0.992
COC1OCC(C(F)(F)F)O1,0.987
COCC(F)(F)C(F)(F)COC,0.9947333333333334
COCCCCOC,0.977
COCCCOC,0.945
COCCOC,0.9447933333333335
COCCOCCOC,0.9504999999999999
COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC,0.95
COCCOCCOCCOC,0.964
COCCOCCOCCOCCOC,0.9675999999999998
COCOC,0.9783333333333334
CO[Si](C)(C)OC,0.983795
FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,0.995
FC(F)(F)COC1OCO1,0.992
FC(F)(F)COCC(F)(F)F,0.9936
FC(F)(F)COCCOCC(F)(F)F,0.993
FC(F)C(F)(F)COC(F)(F)C(F)F,0.9905181818181817
FC(F)C(F)(F)OCC(F)(F)F,0.992
FC(F)COCCOCC(F)(F)F,0.995
FC(F)COCCOCC(F)F,0.995
O=C(OCC(F)(F)F)OCC(F)(F)F,0.983
O=C1OC(F)C(F)O1,0.978
O=C1OCC(C(F)(F)F)O1,0.542
O=C1OCC(F)O1,0.9770294117647059
O=C1OCCO1,0.9093685714285714
O=C=O,0.999
O=S1(=O)CCCC1,0.985
O=c1occo1,0.968
